SEGMENT_ID,WEEK_END_DATE,STORE_NUM,SEGMENT_COST,MARKET_SHARE
0,2009-01-14,367,16.190998902305157,0.040801588179616724
0,2009-01-14,2523,0.0,0.024630920332878517
0,2009-01-14,4259,7.540056550424118,0.07577964622438568
0,2009-01-14,6431,4.495556717198133,0.04572777224619243
0,2009-01-14,8035,33.64398881640261,0.010995562439306217
0,2009-01-14,10019,3.5949670461354186,0.023911814237071456
0,2009-01-14,11967,2.821997105643998,0.027710169512360022
0,2009-01-14,15531,6.814921090387381,0.10396614669764355
0,2009-01-14,15755,0.23529411764705382,0.034581627761183016
0,2009-01-14,17599,3.496081977094625,0.03790365207557375
0,2009-01-14,19523,4.665071770334914,0.033675062383990366
0,2009-01-14,21221,7.3499662845583265,0.09998955144988998
0,2009-01-14,21479,2.8037383177570137,0.035789357229782055
0,2009-01-14,23055,13.731722822631914,0.017117183562586815
0,2009-01-14,23349,3.4214618973561253,0.03505181251613379
0,2009-01-14,25001,7.855877141169522,0.0866860886774594
0,2009-01-14,25021,5.177345537757443,0.12554240267482883
0,2009-01-14,25233,2.3999999999999924,0.02840161768140527
0,2009-01-14,26983,5.543889122217571,0.11173802411771212
0,2009-01-21,367,13.355408388520981,0.030983164566224436
0,2009-01-21,2523,8.33333333333334,0.03258171461378693
0,2009-01-21,4259,5.185730047811695,0.06599084773810797
0,2009-01-21,6431,6.847882906429703,0.047357045159038845
0,2009-01-21,8035,21.98391420911529,0.007725387113660284
0,2009-01-21,10019,9.580419580419587,0.02604398264109737
0,2009-01-21,11967,5.30649588289111,0.027887381023409753
0,2009-01-21,15531,4.366812227074238,0.10116176313315808
0,2009-01-21,15755,6.941176470588234,0.0394402823354591
0,2009-01-21,17599,7.028985507246381,0.05141815029747665
0,2009-01-21,19523,8.906525573192239,0.08094629659857819
0,2009-01-21,21221,5.889608387295715,0.08382818964207113
0,2009-01-21,21479,6.257668711656439,0.040715182285363694
0,2009-01-21,23055,5.66718186501804,0.013007919577172254
0,2009-01-21,23349,7.979870596693023,0.04087841450853029
0,2009-01-21,25001,8.5188770571152,0.07148727070094167
0,2009-01-21,25021,6.024844720496898,0.10433634843888079
0,2009-01-21,25233,5.723076923076921,0.04408114330100584
0,2009-01-21,26983,5.721497686159021,0.09012951632603666
0,2009-01-28,367,2.9793735676088664,0.03163000995234737
0,2009-01-28,2523,8.449074074074078,0.02964283595763332
0,2009-01-28,4259,8.911260253542135,0.06894472163086678
0,2009-01-28,6431,6.5865133298484135,0.04929377879425005
0,2009-01-28,8035,0.0,0.007711421472024676
0,2009-01-28,10019,9.44055944055945,0.02641326628131529
